156,Shooting Men's Air Pistol 10 metres
157,Rowing Men's Coxless Fours
158,Boxing Men's Light-Flyweight
159,Boxing Men's Super-Heavyweight
160,Wrestling Men's Flyweight Greco-Roman
161,Shooting Women's Air Rifle 10 metres
162,Weightlifting Men's Middle-Heavyweight
163,Athletics Men's Javelin Throw
164,Volleyball Women's Volleyball
165,Wrestling Men's Welterweight Greco-Roman
166,Wrestling Men's Middleweight Greco-Roman
167,Athletics Men's 3000 metres Steeplechase
168,Wrestling Men's Middleweight Freestyle
169,Swimming Women's 100 metres Backstroke
170,Swimming Women's 200 metres Backstroke
171,Swimming Women's 4 x 100 metres Medley Relay
172,Wrestling Men's Light-Heavyweight Freestyle
173,Modern Pentathlon Men's Team
174,Boxing Men's Bantamweight
175,Athletics Women's 200 metres
176,Table Tennis Women's Singles
177,Table Tennis Women's Doubles
178,Shooting Men's Skeet
179,Swimming Women's 50 metres Freestyle
180,Shooting Men's Small-Bore Rifle Three Positions 50 metres
181,Athletics Men's Triple Jump
182,Weightlifting Women's Lightweight
183,Athletics Women's Long Jump
184,Fencing Women's epee Individual
185,Swimming Men's 200 metres Freestyle
186,Swimming Men's 4 x 100 metres Freestyle Relay
187,Swimming Men's 200 metres Backstroke
188,Swimming Men's 200 metres Individual Medley
189,Swimming Men's 400 metres Individual Medley
190,Badminton Women's Singles
191,Boxing Men's Light-Middleweight
192,Tennis Men's Singles
193,Wrestling Men's Bantamweight Freestyle
194,Wrestling Men's Flyweight Freestyle
195,Athletics Women's 5000 metres
196,Weightlifting Women's Light-Heavyweight
197,Weightlifting Women's Heavyweight
198,Athletics Men's Discus Throw
199,Taekwondo Men's Featherweight
200,Taekwondo Men's Welterweight
201,Judo Men's Heavyweight
202,Cycling Men's Sprint
203,Bobsleigh Men's Two
204,Wrestling Men's Lightweight Freestyle
205,Nordic Combined Men's Team
206,Nordic Combined Men's Individual
207,Baseball Men's Baseball
208,Rowing Men's Coxed Fours
209,Cycling Men's 100 kilometres Team Time Trial
210,Rhythmic Gymnastics Women's Group
211,Art Competitions Mixed Architecture Designs For Town Planning
212,Art Competitions Mixed Architecture Architectural Designs
213,Gymnastics Women's Individual All-Around
214,Gymnastics Women's Team All-Around
215,Gymnastics Women's Floor Exercise
216,Gymnastics Women's Horse Vault
217,Gymnastics Women's Uneven Bars
218,Gymnastics Women's Balance Beam
219,Diving Women's Springboard
220,Diving Women's Synchronized Springboard
221,Athletics Women's 10000 metres
222,Sailing Mixed 7 metres
