61,Bronze,2016 Summer,Saeid Morad Abdevali,Iran,"Wrestling Men's Middleweight, Greco-Roman"
62,Bronze,1984 Summer,Reema Abdo,Canada,Swimming Women's 4 x 100 metres Medley Relay
63,Gold,1960 Summer,Lala Abdul Rashid,Pakistan,Hockey Men's Hockey
64,Silver,1964 Summer,Muhammad Abdul Rashid,Pakistan,Hockey Men's Hockey
65,Gold,1972 Summer,Zagalav Abdulbekovich Abdulbekov,Soviet Union,"Wrestling Men's Featherweight, Freestyle"
66,Gold,2000 Summer,Mukhammad Kadyr Abdullayev,Uzbekistan,Boxing Men's Light-Welterweight
67,Silver,1996 Summer,Namiq Yadulla Abdullayev,Azerbaijan,"Wrestling Men's Flyweight, Freestyle"
68,Gold,2000 Summer,Namiq Yadulla Abdullayev,Azerbaijan,"Wrestling Men's Bantamweight, Freestyle"
69,Gold,2000 Summer,Julius Shareef Abdur-Rahim,United States,Basketball Men's Basketball
70,Silver,2008 Summer,Yusup Abdusalomov,Tajikistan,"Wrestling Men's Light-Heavyweight, Freestyle"
71,Gold,1992 Summer,Andrey Khakimovich Abduvaliyev,Unified Team,Athletics Men's Hammer Throw
72,Gold,1994 Winter,Masashi Abe,Japan,Nordic Combined Men's Team
73,Bronze,1992 Summer,Addis Abebe,Ethiopia,"Athletics Men's 10,000 metres"
74,Silver,1924 Summer,"Max ""Xam"" Abegglen",Switzerland,Football Men's Football
75,Silver,1924 Winter,Clarence John Abel,United States,Ice Hockey Men's Ice Hockey
76,Gold,1952 Winter,George Gordon Abel,Canada,Ice Hockey Men's Ice Hockey
77,Silver,1972 Summer,Irene Abel,East Germany,Gymnastics Women's Team All-Around
78,Bronze,2012 Summer,Jennifer Abel,Canada,Diving Women's Synchronized Springboard
79,Silver,1920 Summer,Egil Sten Abel,Fornebo,Sailing Mixed 7 metres
80,Gold,1992 Summer,Abelardo Fernndez Antua,Spain,Football Men's Football
81,Gold,1900 Summer,"Louis Grenville ""Lou"" Abell",Vesper Boat Club,Rowing Men's Coxed Eights
82,Gold,1904 Summer,"Louis Grenville ""Lou"" Abell",Vesper Boat Club,Rowing Men's Coxed Eights
83,Gold,2000 Summer,Gezahgne Abera,Ethiopia,Athletics Men's Marathon
84,Bronze,1912 Summer,Nils Georg berg,Sweden,Athletics Men's Long Jump
85,Silver,1912 Summer,Nils Georg berg,Sweden,Athletics Men's Triple Jump
86,Gold,2000 Summer,Michael Brent Abernathy,United States,Baseball Men's Baseball
87,Bronze,1956 Summer,Moira Abernethy (-Ford),South Africa,Swimming Women's 4 x 100 metres Freestyle Relay
88,Silver,2008 Summer,Elvan Abeylegesse,Turkey,"Athletics Women's 5,000 metres"
89,Gold,1980 Summer,Ismail Abilov (-Nizamolu),Bulgaria,"Wrestling Men's Middleweight, Freestyle"
90,Gold,1932 Summer,"Edgar Allen ""Ed"" Ablowich",United States,Athletics Men's 4 x 400 metres Relay
91,Bronze,2012 Summer,Denis Mikhaylovich Ablyazin,Russia,Gymnastics Men's Floor Exercise
92,Silver,2012 Summer,Denis Mikhaylovich Ablyazin,Russia,Gymnastics Men's Horse Vault
93,Silver,2016 Summer,Denis Mikhaylovich Ablyazin,Russia,Gymnastics Men's Team All-Around
94,Silver,2016 Summer,Denis Mikhaylovich Ablyazin,Russia,Gymnastics Men's Horse Vault
95,Bronze,2016 Summer,Denis Mikhaylovich Ablyazin,Russia,Gymnastics Men's Rings
96,Silver,1972 Summer,Viktor Andreyevich Aboimov,Soviet Union,Swimming Men's 4 x 100 metres Freestyle Relay
97,Bronze,1972 Summer,Viktor Andreyevich Aboimov,Soviet Union,Swimming Men's 4 x 200 metres Freestyle Relay
98,Bronze,2016 Summer,"Matthew ""Matt"" Abood",Australia,Swimming Men's 4 x 100 metres Freestyle Relay
99,Silver,2012 Summer,Alaaeldin Ahmad El-Sayyid Abouelkassem,Egypt,"Fencing Men's Foil, Individual"
100,Bronze,1988 Summer,Attila brahm,Hungary,"Canoeing Men's Kayak Doubles, 500 metres"
101,Gold,1988 Summer,Attila brahm,Hungary,"Canoeing Men's Kayak Fours, 1,000 metres"
102,Silver,1992 Summer,Attila brahm,Hungary,"Canoeing Men's Kayak Fours, 1,000 metres"
103,Bronze,1980 Summer,Gary Abraham,Great Britain,Swimming Men's 4 x 100 metres Medley Relay
104,Silver,2004 Summer,Ara Abrahamian,Sweden,"Wrestling Men's Light-Heavyweight, Greco-Roman"
105,Gold,1924 Summer,Harold Maurice Abrahams,Great Britain,Athletics Men's 100 metres
106,Silver,1924 Summer,Harold Maurice Abrahams,Great Britain,Athletics Men's 4 x 100 metres Relay
107,Gold,1912 Summer,Isak Abrahamsen,Norway,"Gymnastics Men's Team All-Around, Free System"
108,Bronze,1920 Summer,Erik Adolf Efraim Abrahamsson,Sweden,Athletics Men's Long Jump
109,Silver,1928 Winter,Karl Gustaf Emanuel Abrahamsson,Sweden,Ice Hockey Men's Ice Hockey
110,Bronze,2004 Summer,Pavel Sergeyevich Abramov,Russia,Volleyball Men's Volleyball
111,Silver,1964 Summer,Nelli Mikhaylovna Abramova,Soviet Union,Volleyball Women's Volleyball
112,Bronze,2006 Winter,Yekaterina Konstantinovna Abramova,Russia,Speed Skating Women's Team Pursuit (6 laps)
113,Bronze,2016 Summer,"Alejandro ""lex"" Abrines Redondo",Spain,Basketball Men's Basketball
114,Bronze,2008 Summer,Svetlana Olegovna Abrosimova,Russia,Basketball Women's Basketball
115,Gold,1980 Summer,Saypulla Atavovich Absaidov,Soviet Union,"Wrestling Men's Lightweight, Freestyle"
116,Gold,2004 Summer,Julien Absalon,France,"Cycling Men's Mountainbike, Cross-Country"
117,Gold,2008 Summer,Julien Absalon,France,"Cycling Men's Mountainbike, Cross-Country"
118,Gold,2016 Summer,Ahmad Abughaush,Jordan,Taekwondo Men's Featherweight
119,Bronze,1964 Summer,Ginko Abukawa-Chiba,Japan,Gymnastics Women's Team All-Around
120,Bronze,1980 Summer,Aleksandr Veniaminovich Abushakhmetov,Soviet Union,"Fencing Men's epee, Team"
121,Gold,1980 Summer,Magomedgasan Mingazhutdinovich Abushev,Soviet Union,"Wrestling Men's Featherweight, Freestyle"
122,Bronze,2008 Summer,Andreea Roxana Acatrinei,Romania,Gymnastics Women's Team All-Around
123,Gold,2012 Summer,William Accambray,France,Handball Men's Handball
124,Bronze,1988 Winter,Paul Accola,Switzerland,Alpine Skiing Men's Combined
125,Silver,1920 Summer,Domingo Gmez-Acedo Villanueva,Spain,Football Men's Football
126,Bronze,1992 Summer,Anibl Santiago Acevedo,Puerto Rico,Boxing Men's Welterweight
127,Silver,1984 Summer,Daniel Aceves Villagrn,Mexico,"Wrestling Men's Flyweight, Greco-Roman"
128,Bronze,1992 Summer,Joachim Yaw Acheampong,Ghana,Football Men's Football
129,Silver,1984 Summer,Alfred Achermann,Switzerland,Cycling Men's 100 kilometres Team Time Trial
130,Bronze,1988 Summer,Abdel Hak Achik,Morocco,Boxing Men's Featherweight
131,Bronze,1992 Summer,Mohamed Abdelhak Achik,Morocco,Boxing Men's Bantamweight
132,Bronze,1968 Winter,Rita Nikolayevna Achkina,Soviet Union,Cross Country Skiing Women's 3 x 5 kilometres Relay
133,Bronze,2012 Summer,Chantal Achterberg,Netherlands,Rowing Women's Coxed Eights
134,Silver,2016 Summer,Chantal Achterberg,Netherlands,Rowing Women's Quadruple Sculls
135,Gold,1920 Summer,Fausto Alesio Acke (Padovini-),Sweden,"Gymnastics Men's Team All-Around, Swedish System"
136,Gold,1976 Summer,Paul Douglas Ackerley,New Zealand,Hockey Men's Hockey
137,Gold,1920 Summer,"Charles Edwin ""Charley"" Ackerly",United States,"Wrestling Men's Featherweight, Freestyle"
138,Silver,2002 Winter,Ronny Ackermann,Germany,Nordic Combined Men's Team
139,Silver,2002 Winter,Ronny Ackermann,Germany,Nordic Combined Men's Sprint
140,Silver,2006 Winter,Ronny Ackermann,Germany,Nordic Combined Men's Team
141,Gold,1992 Winter,Donat Acklin,Switzerland-1,Bobsleigh Men's Two
142,Bronze,1992 Winter,Donat Acklin,Switzerland-1,Bobsleigh Men's Four
143,Gold,1994 Winter,Donat Acklin,Switzerland-1,Bobsleigh Men's Two
144,Silver,1994 Winter,Donat Acklin,Switzerland-1,Bobsleigh Men's Four
145,Silver,1994 Winter,Guido Acklin,Switzerland-2,Bobsleigh Men's Two
